reg ;comment
Accession Cts .;
AFRICA;
Africa;
AFRICA & MIDDLE EAST;
All Above;
America;
Asia;
Asia and Oceania;
Australia and New Zealand;
Australian and New Zealand;
Baltic States;
C.I.S.;
Canalia;
Central America;
Central and South America;
CIS;
EAST ASIA;
Eastern Europe;
EASTERN EUROPE;
EASTERN EUROPE & USSR;
EE C;
Eec;
European Union;
LATIN AMERICA;
Latin America;
MIDDLE EAST;
Middle East;
NAFTA;
NORTH AMERICA;
North America;
OCEANIA;
Oceania;
Other;
Other Asia;
Other Asian Countries;
Other Central and South;
Other Central and South America;
Other EU;
Other Europe;
Other Europe Total;
Other Non-OECD Americas;
Other non-OECD Asia;
Other W Europe;
Other W. EUROPE;
OTHERAFRIC;
OTHERASIA;
Others;
South African C.U.;Should we include this as SAC in country code list?
South Ameria;
South America;
Total;
TOTAL;
Total above countries;
Total Above Countries;
Total Africa;
Total all above Countries;
TOTAL all above countries;
Total Asia;
Total Central and South America;
Total Central South America;
Total Comecon countries;
Total EEC;
Total EU;
Total European Union;
Total NAFTA;
Total of Above;
Total Other Europe;
Total Others;
Total W Europe;
Total W. EUROPE;
Unallocated ( D );
WESTERN EUROPE;
Western Europe;
World;
